The CCLE Results relative to 644241
CCLE Name	Target	Does	IC50
NCI-H747	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H810	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.777545452	
NCI-N87	2	.0025,.0080,.025,.080,.25,.80,2.53,8	3.743279696	
NCO2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	0.00760066	
NIH	OVCAR-3	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NUGC-3	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NUGC-4	2	.0025,.0080,.025,.080,.25,.80,2.53,8	4.356728077	
OC 314	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
OC 315	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
OC 316	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
OCI-AML2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.798111916	
OCI-AML5	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.265676975	
OCUM-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
OE21	2	.0025,.0080,.025,.080,.25,.80,2.53,8	0.464579643	
OE33	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
ONCO-DG-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
ONS-76	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
OPM-2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
OV-90	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.70353508	
OVCAR-4	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
OVCAR-8	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.570580006	
OVMANA	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
OVSAHO	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
OVTOKO	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
P12-ICHIKAWA	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
P31/FUJ	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
P3HR-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Panc 02.03	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Panc 03.27	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Panc 04.03	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Panc 10.05	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
PC-3	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Pfeiffer	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
PK-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
PK-45H	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
PK-59	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
PL45	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
PLC/PRF/5	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.693918705	
Raji	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Reh	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
RERF-GC-1B	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
RERF-LC-AI	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
RERF-LC-MS	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
RKN	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
RKO	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
RL95-2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
RPMI-8402	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
RT-112	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
RT4	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
RVH-421	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Saos-2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.712678432	
SBC-5	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SCaBER	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SF126	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SF-295	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SF8657	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SH-10-TC	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.97711277	
SHP-77	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SIG-M5	2	.0025,.0080,.025,.080,.25,.80,2.53,8	1.649600863	
SIMA	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SJRH30	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SK-BR-3	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SK-CO-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	0.15920667	
SK-ES-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SK-HEP-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SK-LU-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SK-MEL-2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SK-MEL-24	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.903137207	
SK-MEL-30	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
