The CCLE Results relative to 10206158
CCLE Name	Target	Does	IC50
KE-39	2	.0025	.0080	.025	.080	.25	.80	2.53	8	6.011958599	
KE-97	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KELLY	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KG-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.371464181	
KHM-1B	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KLE	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KMBC-2	2	.0025	.0080	.025	.080	.25	.80	2.53	8	1.145538807	
KMM-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	1.129081249	
KMRC-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KMRC-2	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KMS-11	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KMS-12-BM	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KMS-26	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KMS-34	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KNS-42	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KNS-60	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KNS-62	2	.0025	.0080	.025	.080	.25	.80	2.53	8	1.194876909	
KNS-81	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KO52	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.004738287	
KP-1N	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KP-1NL	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KP-2	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.033684015	
KP-3	2	.0025	.0080	.025	.080	.25	.80	2.53	8	2.182970047	
KP4	2	.0025	.0080	.025	.080	.25	.80	2.53	8	2.774494648	
KP-N-SI9s	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.098736674	
KU812	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.042091515	
