height	rank	name
3.7465	664	LNCaP-Clone-FGC
3.7553	665	HCC1395
3.7565	666	LAN-6
3.7611	667	HCC1143
3.7825	668	DSH1
3.7984	669	GMS-10
3.8048	670	YAPC
3.8114	671	NCI-H1993
3.8159	672	HCC2218
3.8319	673	MHH-NB-11
3.8345	674	Capan-2
3.8525	675	UACC-62
3.8672	676	MN-60
3.8798	677	NCI-H23
3.88	678	SK-MM-2
3.8919	679	C32
3.8946	680	PLC-PRF-5
3.8994	681	NCI-H345
3.9036	682	BT-474
3.9154	683	RVH-421
3.92	684	NCI-H720
3.9373	685	SK-MEL-1
3.9591	686	NCI-H1975
3.9628	687	SCH
3.9709	688	P31-FUJ
3.9749	689	NCI-H2227
3.9931	690	EHEB
3.9983	691	EW-11
3.9991	692	RL
4	693	NCI-SNU-5
4.0011	694	NCI-H322M
4.0186	695	NCI-H1666
4.0246	696	CW-2
4.0372	697	MSTO-211H
4.0394	698	MFM-223
4.0466	699	NCI-SNU-16
4.0681	700	HuO9
4.0686	701	SU-DHL-1
4.1027	702	NCI-H2291
4.1194	703	RPMI-8866
4.1289	704	UACC-812
4.15	705	SK-N-FI
4.1812	706	NCI-H1522
4.1834	707	NCI-H1155
